# Aluminum               
# H   K   L       d spacing       I/rel.
  1   1   1       2.3381         100
  2   0   0       2.02485         56.55
  2   2   0       1.43179         57.79
  3   1   1       1.22103         85.53
  2   2   2       1.16905         26.29
  4   0   0       1.01242         15.16
  3   3   1       0.92906         52.1
  4   2   0       0.90554         49.84
  4   2   2       0.82664         42.76
  3   3   3       0.77937         12.97
  5   1   1       0.77937         38.91
  4   4   0       0.71589         17.13
  5   3   1       0.68452         64.41
  4   4   2       0.67495         31.62
  6   0   0       0.67495          7.9
  6   2   0       0.64031         29.67
  5   3   3       0.61757         28.56
  6   2   2       0.61052         28.25
  4   4   4       0.58452          9.1
  5   5   1       0.56707         26.84
  7   1   1       0.56707         26.84
  6   4   0       0.56159         26.74
  6   4   2       0.54116         53.23
  5   5   3       0.52723         26.83
  7   3   1       0.52723         53.66
  8   0   0       0.50621          6.99
  7   3   3       0.49475         29.34
