#
# Except for hydrogen, cross-section values are from the NIST web site:
# http://www.ncnr.nist.gov/resources/n-lengths/list.html
# which contains values from:
# V. F. Sears, Neutron News, Vol. 3, No. 3, 1992, pp. 29-37.
#
# Hydrogen cross-sections are from:
# Howard, J. A. K.; Johnson, O.; Schultz, A. J.; Stringer, A. M.
#	J. Appl. Cryst. 1987, 20, 120-122.
#
# The table contains the following:
#
# Column  Unit  Quantity  
# ------  ----  --------
#      1  ---   Isotope  
#      2  barn  total bound scattering cross section  
#      3  barn  absorption cross section for 2200 m/s neutrons (wavelength = 1.8 A)
#
# Note: 1 barn = 1E-24 cm^2
#
H	20.6	34.56
1H	20.6	34.56
2H	7.64	0.000519
3H	3.03	0
He	1.34	0.00747
3He	6	5333
4He	1.34	0
Li	1.37	70.5
6Li	0.97	940
7Li	1.4	0.0454
Be	7.63	0.0076
B	5.24	767
10B	3.1	3835
11B	5.77	0.0055
C	5.551	0.0035
12C	5.559	0.00353
13C	4.84	0.00137
N	11.51	1.9
14N	11.53	1.91
15N	5.21	0.000024
O	4.232	0.00019
16O	4.232	0.0001
17O	4.2	0.236
18O	4.29	0.00016
F	4.018	0.0096
Ne	2.628	0.039
20Ne	2.695	0.036
21Ne	5.7	0.67
22Ne	1.88	0.046
Na	3.28	0.53
Mg	3.71	0.063
24Mg	4.03	0.05
25Mg	1.93	0.19
26Mg	3	0.0382
Al	1.503	0.231
Si	2.167	0.171
28Si	2.12	0.177
29Si	2.78	0.101
30Si	2.64	0.107
P	3.312	0.172
S	1.026	0.53
32S	0.988	0.54
33S	3.1	0.54
34S	1.52	0.227
36S	1.1	0.15
Cl	16.8	33.5
35Cl	21.8	44.1
37Cl	1.19	0.433
Ar	0.683	0.675
36Ar	77.9	5.2
38Ar	1.5	0.8
40Ar	0.421	0.66
K	1.96	2.1
39K	2.01	2.1
40K	1.6	35
41K	1.2	1.46
Ca	2.83	0.43
40Ca	2.9	0.41
42Ca	1.42	0.68
43Ca	0.8	6.2
44Ca	0.25	0.88
46Ca	1.6	0.74
48Ca	0.019	1.09
Sc	23.5	27.5
Ti	4.35	6.09
46Ti	3.05	0.59
47Ti	3.2	1.7
48Ti	4.65	7.84
49Ti	3.4	2.2
50Ti	4.8	0.179
V	5.1	5.08
50V	7.8	60
51V	5.09	4.9
Cr	3.49	3.05
50Cr	2.54	15.8
52Cr	3.042	0.76
53Cr	8.15	18.1
54Cr	2.6	0.36
Mn	2.15	13.3
Fe	11.62	2.56
54Fe	2.2	2.25
56Fe	12.42	2.59
57Fe	1	2.48
58Fe	28	1.28
Co	5.6	37.18
Ni	18.5	4.49
58Ni	26.1	4.6
60Ni	0.99	2.9
61Ni	9.2	2.5
62Ni	9.5	14.5
64Ni	0.017	1.52
Cu	8.03	3.78
63Cu	5.2	4.5
65Cu	14.5	2.17
Zn	4.131	1.11
64Zn	3.42	0.93
66Zn	4.48	0.62
67Zn	7.46	6.8
68Zn	4.57	1.1
70Zn	4.5	0.092
Ga	6.83	2.75
69Ga	7.89	2.18
71Ga	5.23	3.61
Ge	8.6	2.2
70Ge	12.6	3
72Ge	9.1	0.8
73Ge	4.7	15.1
74Ge	7.2	0.4
76Ge	8	0.16
As	5.5	4.5
Se	8.3	11.7
74Se	0.1	51.8
76Se	18.7	85
77Se	8.65	42
78Se	8.5	0.43
80Se	7.03	0.61
82Se	5.05	0.044
Br	5.9	6.9
79Br	5.96	11
81Br	5.84	2.7
Kr	7.68	25
78Kr	---	6.4
80Kr	---	11.8
82Kr	---	29
83Kr	---	185
84Kr	6.6	0.113
86Kr	8.2	0.003
Rb	6.8	0.38
85Rb	6.7	0.48
87Rb	7.1	0.12
Sr	6.25	1.28
84Sr	6	0.87
86Sr	4.04	1.04
87Sr	7.4	16
88Sr	6.42	0.058
Y	7.7	1.28
Zr	6.46	0.185
90Zr	5.1	0.011
91Zr	9.7	1.17
92Zr	6.9	0.22
94Zr	8.4	0.0499
96Zr	3.8	0.0229
Nb	6.255	1.15
Mo	5.71	2.48
92Mo	6	0.019
94Mo	5.81	0.015
95Mo	6.5	13.1
96Mo	4.83	0.5
97Mo	7.1	2.5
98Mo	5.44	0.127
100Mo	5.69	0.4
Tc	6.3	20
Ru	6.6	2.56
96Ru	---	0.28
98Ru	---	8
99Ru	---	6.9
100Ru	---	4.8
101Ru	---	3.3
102Ru	144.8	1.17
104Ru	4.483	0.31
Rh	4.6	144.8
Pd	4.48	6.9
102Pd	7.5	3.4
104Pd	7.5	0.6
105Pd	4.6	20
106Pd	5.1	0.304
108Pd	2.1	8.55
110Pd	7.5	0.226
Ag	4.99	63.3
107Ag	7.3	37.6
109Ag	2.5	91
Cd	6.5	2520
106Cd	3.1	1
108Cd	3.7	1.1
110Cd	4.4	11
111Cd	5.6	24
112Cd	5.1	2.2
113Cd	12.4	20600
114Cd	7.1	0.34
116Cd	5	0.075
In	2.62	193.8
113In	3.65	12
115In	2.57	202
Sn	4.892	0.626
112Sn	4.5	1
114Sn	4.8	0.114
115Sn	4.8	30
116Sn	4.42	0.14
117Sn	5.6	2.3
118Sn	4.63	0.22
119Sn	5	2.2
120Sn	5.29	0.14
122Sn	4.14	0.18
124Sn	4.48	0.133
Sb	3.9	4.91
121Sb	4.1	5.75
123Sb	3.64	3.8
Te	4.32	4.7
120Te	3.5	2.3
122Te	1.8	3.4
123Te	0.52	418
124Te	8	6.8
125Te	3.18	1.55
126Te	3.88	1.04
128Te	4.36	0.215
130Te	4.55	0.29
I	3.81	6.15
Xe	---	23.9
124Xe	---	165
126Xe	---	3.5
128Xe	---	8
129Xe	---	21
130Xe	---	26
131Xe	---	85
132Xe	---	0.45
134Xe	---	0.265
136Xe	---	0.26
Cs	3.9	29
Ba	3.38	1.1
130Ba	1.6	30
132Ba	7.6	7
134Ba	4.08	2
135Ba	3.2	5.8
136Ba	3.03	0.68
137Ba	6.4	3.6
138Ba	2.94	0.27
La	9.66	8.97
138La	8.5	57
139La	9.66	8.93
Ce	2.94	0.63
136Ce	4.23	7.3
138Ce	5.64	1.1
140Ce	2.94	0.57
142Ce	2.84	0.95
Pr	2.66	11.5
Nd	16.6	50.5
142Nd	7.5	18.7
143Nd	80	337
144Nd	1	3.6
145Nd	30	42
146Nd	9.5	1.4
148Nd	4.1	2.5
150Nd	3.5	1.2
Pm	21.3	168.4
Sm	39	5922
144Sm	1	0.7
147Sm	39	57
148Sm	1	2.4
149Sm	200	42080
150Sm	25	104
152Sm	3.1	206
154Sm	11	8.4
Eu	9.2	4530
151Eu	8.6	9100
153Eu	9.8	312
Gd	180	49700
152Gd	13	735
154Gd	13	85
155Gd	66	61100
156Gd	5	1.5
157Gd	1044	259000
158Gd	10	2.2
160Gd	10.52	0.77
Tb	6.84	23.4
Dy	90.3	994
156Dy	4.7	33
158Dy	5	43
160Dy	5.6	56
161Dy	16	600
162Dy	0.25	194
163Dy	3.3	124
164Dy	307	2840
Ho	8.42	64.7
Er	8.7	159
162Er	9.7	19
164Er	8.4	13
166Er	14.1	19.6
167Er	1.2	659
168Er	6.9	2.74
170Er	11.6	5.8
Tm	6.38	100
Yb	23.4	34.8
168Yb	2.13	2230
170Yb	5.8	11.4
171Yb	15.6	48.6
172Yb	11.2	0.8
173Yb	15	17.1
174Yb	46.8	69.4
176Yb	9.6	2.85
Lu	7.2	74
175Lu	7.2	21
176Lu	5.9	2065
Hf	10.2	104.1
174Hf	15	561
176Hf	5.5	23.5
177Hf	0.2	373
178Hf	4.4	84
179Hf	7.1	41
180Hf	21.9	13.04
Ta	6.01	20.6
180Ta	7	563
181Ta	6.01	20.5
W	4.6	18.3
180W	3	30
182W	6.1	20.7
183W	5.7	10.1
184W	7.03	1.7
186W	0.065	37.9
Re	11.5	89.7
185Re	10.7	112
187Re	11.9	76.4
Os	14.7	16
184Os	13	3000
186Os	17	80
187Os	13	320
188Os	7.3	4.7
189Os	14.9	25
190Os	15.2	13.1
192Os	16.6	2
Ir	14	425
191Ir	---	954
193Ir	---	111
Pt	11.71	10.3
190Pt	10	152
192Pt	12.3	10
194Pt	14	1.44
195Pt	9.9	27.5
196Pt	12.3	0.72
198Pt	7.6	3.66
Au	7.75	98.65
Hg	26.8	372.3
196Hg	115	3080
198Hg	---	2
199Hg	66	2150
200Hg	---	60
201Hg	---	7.8
202Hg	9.828	4.89
204Hg	---	0.43
Tl	9.89	3.43
203Tl	6.28	11.4
205Tl	11.4	0.104
Pb	11.118	0.171
204Pb	12.3	0.65
206Pb	10.68	0.03
207Pb	10.82	0.699
208Pb	11.34	0.00048
Bi	9.156	0.0338
Po	---	---
At	---	---
Rn	12.6	---
Fr	---	---
Ra	13	12.8
Ac	---	---
Th	13.36	7.37
Pa	10.5	200.6
U	8.908	7.57
233U	12.9	574.7
234U	19.3	100.1
235U	14	680.9
238U	8.871	2.68
Np	14.5	175.9
Pu	---	---
238Pu	25	558
239Pu	7.7	1017.3
240Pu	1.54	289.6
242Pu	8.2	18.5
Am	9	75.3
Cm	---	---
244Cm	11.3	16.2
246Cm	10.9	1.36
248Cm	7.5	3
